SKU_ID,TotalQty_Ordered,Weekly_Demand_units,Lambda_Weekly,Unit_Weight_kg,Unit_Vol_m3,Req_Temp_C,CumulativePct,ABC_Class
S020,86,5,5,17.034,0.0681,6,0.6680851063829787,A
S029,64,5,5,73.881,0.0308,24,0.6787234042553192,A
S075,70,5,5,91.976,0.0383,24,0.6893617021276596,A
S025,166,4,4,3.5,0.01,24,0.6978723404255319,A
S022,196,4,4,61.513,0.0648,24,0.7063829787234043,A
S012,92,4,4,36.843,0.0526,-18,0.7148936170212766,A
S099,135,4,4,9.944,0.0284,24,0.723404255319149,A
S066,130,4,4,105.237,0.1108,24,0.7319148936170212,A
S067,79,4,4,15.646,0.0626,20,0.7404255319148936,A
S061,123,4,4,62.631,0.0659,24,0.7489361702127659,A
S088,160,4,4,3.777,0.0108,24,0.7574468085106383,A
S090,67,4,4,9.0,0.01,4,0.7659574468085106,A
S098,147,3,3,51.723,0.0544,24,0.7723404255319148,A
S078,87,3,3,88.386,0.0884,24,0.7787234042553192,A
S046,143,3,3,74.595,0.0746,24,0.7851063829787234,A
S076,52,3,3,47.217,0.0675,-18,0.7914893617021277,A
S072,130,3,3,12.852,0.0367,24,0.7978723404255319,A
S082,124,3,3,7.11,0.0203,24,0.8042553191489362,B
S037,161,3,3,105.457,0.1055,24,0.8106382978723404,B
S039,93,3,3,10.994,0.0314,24,0.8170212765957446,B
S034,70,3,3,4.589,0.0131,24,0.823404255319149,B
S024,122,3,3,28.421,0.0299,24,0.8297872340425532,B
S026,88,3,3,70.532,0.0742,24,0.8361702127659575,B
S097,38,3,3,54.211,0.0226,24,0.8425531914893617,B
S086,35,3,3,65.095,0.0271,24,0.8489361702127659,B
S079,102,3,3,11.394,0.0326,24,0.8553191489361702,B
S041,110,3,3,5.534,0.0158,24,0.8617021276595744,B
S040,111,3,3,85.16,0.0852,24,0.8680851063829788,B
S070,36,2,2,15.22,0.0609,20,0.8723404255319149,B
S068,39,2,2,20.104,0.0804,6,0.8765957446808511,B
S021,44,2,2,25.834,0.0369,-18,0.8808510638297873,B
S009,51,2,2,29.774,0.0425,-18,0.8851063829787233,B
S004,93,2,2,13.464,0.0385,24,0.8893617021276595,B
S032,99,2,2,44.299,0.0466,24,0.8936170212765957,B
S030,43,2,2,8.45,0.0338,6,0.8978723404255319,B
S001,72,2,2,64.275,0.0643,24,0.902127659574468,B
S085,44,2,2,12.87,0.0368,24,0.9063829787234042,B
S092,38,2,2,15.841,0.0634,20,0.9106382978723404,B
S096,91,2,2,96.959,0.097,24,0.9148936170212766,B
S073,38,2,2,16.307,0.0652,6,0.9191489361702128,B
S038,62,2,2,50.535,0.0532,24,0.9234042553191489,B
S042,27,2,2,8.91,0.0223,24,0.9276595744680851,B
S059,75,2,2,66.209,0.0697,24,0.9319148936170213,B
S055,39,2,2,32.029,0.1281,20,0.9361702127659575,B
S065,51,2,2,19.778,0.0791,6,0.9404255319148936,B
S064,51,2,2,20.7,0.0828,6,0.9446808510638298,B
S054,31,2,2,13.237,0.0331,24,0.948936170212766,B
S049,45,2,2,27.033,0.0676,24,0.9531914893617022,C
S023,68,1,1,42.28,0.0445,24,0.9553191489361702,C
S007,32,1,1,12.717,0.0134,24,0.9574468085106383,C
S010,12,1,1,21.769,0.0544,24,0.9595744680851064,C
S015,9,1,1,71.036,0.0296,24,0.9617021276595744,C
S016,46,1,1,70.934,0.0709,24,0.9638297872340426,C
S019,17,1,1,14.398,0.036,24,0.9659574468085106,C
S035,11,1,1,20.028,0.0801,6,0.9680851063829787,C
S033,27,1,1,42.138,0.0444,24,0.9702127659574468,C
S053,35,1,1,45.313,0.0477,24,0.9723404255319149,C
S063,25,1,1,21.19,0.0848,6,0.9744680851063829,C
S043,25,1,1,11.988,0.03,24,0.9765957446808511,C
S036,9,1,1,81.615,0.034,24,0.9787234042553191,C
S044,17,1,1,29.587,0.0329,4,0.9808510638297873,C
S048,9,1,1,79.233,0.033,24,0.9829787234042553,C
S062,27,1,1,23.969,0.0959,6,0.9851063829787234,C
S083,36,1,1,58.417,0.0615,24,0.9872340425531915,C
S077,22,1,1,4.273,0.0171,6,0.9893617021276596,C
S081,18,1,1,25.403,0.0363,-18,0.9914893617021276,C
S091,16,1,1,13.947,0.0558,6,0.9936170212765958,C
S087,12,1,1,12.701,0.0363,24,0.9957446808510638,C
S094,41,1,1,76.858,0.0769,24,0.997872340425532,C
S093,21,1,1,48.531,0.0539,4,1.0,C
