SKU_A,SKU_B,support,confidence,lift,antecedent support,consequent support,Lambda_A,Lambda_B
S058,S013,0.019,0.30158730158730157,1.5387107223841916,0.063,0.196,6,21
S057,S002,0.025,0.4098360655737705,1.5349665377294774,0.061,0.267,7,35
S061,S002,0.015,0.40540540540540543,1.5183723048891589,0.037,0.267,4,35
S089,S002,0.062,0.40522875816993464,1.5177107047563094,0.153,0.267,15,35
S017,S002,0.036,0.4044943820224719,1.5149602322939022,0.089,0.267,10,35
S041,S031,0.013,0.38235294117647056,1.5053265400648448,0.034,0.254,3,28
S018,S002,0.024,0.4,1.4981273408239701,0.06,0.267,7,35
S089,S031,0.058,0.3790849673202615,1.492460501260872,0.153,0.254,15,28
S080,S031,0.045,0.37815126050420167,1.4887844901740224,0.119,0.254,13,28
S032,S031,0.012,0.375,1.4763779527559056,0.032,0.254,2,28
S014,S031,0.04,0.3738317757009346,1.4717786444918686,0.107,0.254,10,28
S084,S031,0.023,0.3709677419354839,1.460502921005842,0.062,0.254,6,28
S017,S031,0.033,0.3707865168539326,1.4597894364328055,0.089,0.254,10,28
S074,S002,0.021,0.3888888888888889,1.4565126924677485,0.054,0.267,6,35
S022,S002,0.019,0.3877551020408163,1.4522662997783382,0.049,0.267,4,35
S006,S002,0.043,0.3805309734513274,1.4252096383944846,0.113,0.267,12,35
S047,S031,0.02,0.35714285714285715,1.40607424071991,0.056,0.254,5,28
S020,S031,0.016,0.35555555555555557,1.399825021872266,0.045,0.254,5,28
S003,S002,0.025,0.373134328358209,1.3975068477835542,0.067,0.267,6,35
S008,S002,0.041,0.37272727272727274,1.3959822948586993,0.11,0.267,11,35
S074,S031,0.019,0.35185185185185186,1.3852435112277632,0.054,0.254,6,28
S000,S031,0.026,0.35135135135135137,1.383273036816344,0.074,0.254,7,28
S072,S002,0.013,0.3611111111111111,1.352476071577195,0.036,0.267,3,35
S045,S002,0.032,0.35955056179775285,1.3466313175945799,0.089,0.267,9,35
S056,S031,0.038,0.33628318584070793,1.3239495505539682,0.113,0.254,11,28
S008,S031,0.036,0.32727272727272727,1.2884753042233357,0.11,0.254,11,28
S024,S002,0.012,0.3428571428571428,1.2841091492776884,0.035,0.267,3,35
S098,S002,0.014,0.3414634146341463,1.2788891933863158,0.041,0.267,3,35
S061,S031,0.012,0.32432432432432434,1.2768674185997022,0.037,0.254,4,28
S084,S002,0.021,0.33870967741935487,1.268575570859007,0.062,0.267,6,35
S071,S031,0.037,0.3189655172413793,1.255769752918816,0.116,0.254,11,28
S067,S002,0.012,0.33333333333333337,1.2484394506866419,0.036,0.267,4,35
S099,S002,0.012,0.33333333333333337,1.2484394506866419,0.036,0.267,4,35
S020,S002,0.015,0.3333333333333333,1.2484394506866416,0.045,0.267,5,35
S003,S031,0.021,0.31343283582089554,1.2339875426019509,0.067,0.254,6,28
S080,S002,0.039,0.3277310924369748,1.2274572750448494,0.119,0.267,13,35
S071,S002,0.038,0.3275862068965517,1.2269146325713547,0.116,0.267,11,35
S056,S002,0.037,0.327433628318584,1.226343177223161,0.113,0.267,11,35
S006,S031,0.035,0.3097345132743363,1.2194272176154972,0.113,0.254,12,28
S072,S031,0.011,0.3055555555555556,1.2029746281714786,0.036,0.254,3,28
S088,S002,0.015,0.3191489361702127,1.1953143676786993,0.047,0.267,4,35
S018,S031,0.018,0.3,1.1811023622047243,0.06,0.254,7,28
S013,S002,0.061,0.3112244897959183,1.1656347932431397,0.196,0.267,21,35
